Dataset Index,Prediction value of prediction target,COL_____,COL______1,COL___,COL____1,COL__1,B7,B8,COL____,PV,SV,COL____2,COL____3,COL____4,COL______,date_time
1,24.7443,RA,H,25.5,31.7,25.0,24.9,24.6,48.7,31.2,27.55,405.51,0.68,0.4,0.41,2022-03-01 00:00:00
2,24.8406,RA,H,25.3,32.4,24.5,24.6,24.7,49.0,32.0,27.07,405.02,0.68,0.4,0.4,2022-03-01 01:00:00
3,24.8901,RA,H,25.4,33.0,24.8,24.4,24.8,49.1,32.4,27.26,405.72,0.68,0.4,0.4,2022-03-01 02:00:00
4,24.903,RA,H,25.3,33.4,24.7,24.2,24.8,49.2,32.8,27.76,405.79,0.68,0.4,0.4,2022-03-01 03:00:00
5,24.9211,RA,H,25.2,33.7,24.2,24.1,24.8,49.3,33.2,27.99,405.54,0.68,0.4,0.4,2022-03-01 04:00:00
6,24.9021,RA,H,25.3,33.7,24.9,25.1,24.8,49.4,33.2,28.33,404.79,0.68,0.4,0.4,2022-03-01 05:00:00
7,24.9182,RA,H,25.7,33.9,24.3,24.8,24.8,49.5,33.4,28.44,405.52,0.68,0.4,0.4,2022-03-01 06:00:00
8,24.8834,RA,H,25.5,34.2,24.6,24.4,25.0,49.5,33.6,29.61,402.86,0.67,0.39,0.4,2022-03-01 07:00:00
9,24.9081,RA,H,25.2,34.1,25.0,24.3,25.0,47.6,33.6,28.97,405.2,0.68,0.4,0.4,2022-03-01 08:00:00
10,24.9753,RA,H,26.1,34.3,24.1,24.8,25.6,46.7,33.8,28.23,401.45,0.67,0.39,0.39,2022-03-01 09:00:00
11,24.749,RA,H,26.0,31.1,24.4,26.0,25.2,48.1,30.6,26.5,409.95,0.69,0.41,0.41,2022-03-02 05:00:00
12,24.8059,RA,H,25.6,32.1,25.0,25.9,25.4,48.4,31.6,27.17,408.49,0.68,0.41,0.41,2022-03-02 06:00:00
13,24.3631,RA,C,24.2,24.6,24.6,26.0,25.2,44.4,24.6,27.52,399.38,52.7,31.69,3.9,2022-03-02 20:00:00
14,24.3206,RA,C,23.9,24.4,24.4,25.8,25.0,44.5,24.2,28.16,403.18,0.72,0.42,4.78,2022-03-02 21:00:00
15,24.5967,RA,H,24.4,30.1,24.3,25.1,24.3,46.5,29.6,27.81,405.76,0.68,0.4,0.4,2022-03-03 02:00:00
16,24.7492,RA,H,24.6,31.1,24.8,25.1,24.5,46.9,30.6,26.7,407.86,0.68,0.4,0.4,2022-03-03 03:00:00
17,24.8528,RA,H,25.0,32.0,24.4,25.1,24.7,47.3,31.6,26.19,407.94,0.68,0.41,0.41,2022-03-03 04:00:00
18,24.7739,RA,H,23.9,32.5,25.0,25.1,24.9,47.5,32.2,29.26,404.58,0.67,0.4,0.4,2022-03-03 05:00:00
19,24.7934,RA,H,23.4,33.0,24.0,24.9,24.8,47.6,32.4,29.97,403.32,0.67,0.39,0.4,2022-03-03 06:00:00
20,24.7957,RA,H,23.3,33.4,24.8,24.7,24.7,47.8,32.8,30.68,405.96,0.68,0.4,0.4,2022-03-03 07:00:00
21,24.9161,RA,H,24.4,33.5,24.9,24.6,25.0,46.6,33.0,28.19,393.55,0.65,0.37,0.39,2022-03-03 08:00:00
22,24.9775,RA,H,26.0,33.6,24.5,25.0,25.6,45.9,33.2,26.89,396.5,0.66,0.38,0.38,2022-03-03 09:00:00
23,24.6459,RA,H,26.0,29.9,24.8,25.2,24.8,45.9,29.4,26.2,395.82,0.65,0.38,0.39,2022-03-04 08:00:00
24,24.7578,RA,H,26.1,31.0,24.8,25.6,25.6,45.3,30.6,26.18,393.88,0.65,0.38,0.38,2022-03-04 09:00:00
25,24.3954,RA,C,26.7,16.6,24.4,25.7,25.0,42.4,16.8,17.19,400.0,49.49,29.51,9.04,2022-03-04 12:00:00
26,24.3918,RA,C,26.9,15.9,24.4,25.9,25.3,42.2,16.0,16.67,396.78,0.68,0.39,11.29,2022-03-04 13:00:00
27,24.6581,RA,H,24.5,30.4,24.9,25.8,24.8,47.9,30.0,27.17,406.54,0.68,0.4,0.41,2022-03-05 04:00:00
28,24.7953,RA,H,25.1,31.7,24.3,25.8,25.1,48.2,31.2,26.65,406.33,0.68,0.4,0.4,2022-03-05 05:00:00
29,24.8652,RA,H,25.5,32.6,25.0,25.8,25.4,48.7,32.2,26.99,405.21,0.68,0.4,0.4,2022-03-05 06:00:00
30,24.7155,RA,H,24.6,30.8,24.6,25.7,25.0,48.1,30.4,26.77,408.08,0.68,0.4,0.41,2022-03-05 22:00:00
31,24.8199,RA,H,24.5,31.9,24.8,25.5,25.1,48.4,31.4,26.95,410.07,0.69,0.41,0.41,2022-03-05 23:00:00
32,24.9368,RA,H,25.1,32.8,24.2,25.2,25.3,48.7,32.2,26.09,413.14,0.69,0.42,0.41,2022-03-06 00:00:00
33,24.9884,RA,H,24.7,33.4,24.8,25.1,25.4,49.2,32.8,26.45,412.06,0.69,0.41,0.41,2022-03-06 01:00:00
34,24.7012,RA,C,25.1,29.5,24.7,25.7,24.9,48.8,29.0,29.42,410.64,0.72,0.42,9.47,2022-03-06 02:00:00
35,24.6437,RA,C,24.3,29.6,24.5,25.6,24.4,48.5,29.2,31.2,410.07,0.71,0.42,2.5,2022-03-06 03:00:00
36,24.6144,RA,H,24.2,31.0,24.3,25.2,24.4,48.6,30.6,29.25,405.33,0.68,0.4,0.41,2022-03-06 04:00:00
37,24.7155,RA,H,24.1,32.0,24.8,24.7,24.5,48.7,31.6,29.28,405.44,0.68,0.4,0.4,2022-03-06 05:00:00
38,24.7983,RA,H,24.0,32.7,24.9,24.5,24.7,48.9,32.2,29.11,404.61,0.68,0.4,0.4,2022-03-06 06:00:00
39,24.9003,RA,H,25.5,33.3,24.7,24.4,24.8,49.1,32.8,27.63,403.94,0.67,0.4,0.4,2022-03-06 07:00:00
40,25.0203,RA,H,26.3,33.9,24.3,24.6,25.2,49.5,33.4,26.69,410.77,0.69,0.41,0.4,2022-03-06 08:00:00
41,25.0476,RA,H,27.0,34.3,25.0,25.1,25.7,50.0,33.8,26.99,408.49,0.68,0.41,0.41,2022-03-06 09:00:00
42,24.6232,RA,H,25.9,29.9,24.7,25.9,24.7,48.2,29.6,26.58,408.14,0.68,0.4,0.41,2022-03-07 02:00:00
43,24.7043,RA,H,25.4,31.4,24.6,25.8,25.1,48.5,31.0,27.73,408.16,0.68,0.4,0.4,2022-03-07 03:00:00
44,24.8631,RA,H,25.6,32.5,25.0,25.7,25.4,48.8,32.2,26.86,408.59,0.68,0.41,0.41,2022-03-07 04:00:00
45,24.594,RA,C,24.2,29.3,24.7,25.9,24.6,48.2,29.0,31.62,406.67,0.71,0.42,2.52,2022-03-07 06:00:00
46,24.458,RA,H,23.8,29.5,24.0,25.4,24.1,47.8,29.0,29.61,406.02,0.68,0.4,2.49,2022-03-07 07:00:00
47,24.6492,RA,H,24.5,30.3,24.1,24.5,24.1,46.0,30.0,27.15,400.62,0.67,0.39,0.4,2022-03-07 08:00:00
48,24.7631,RA,H,24.6,31.2,24.2,24.6,24.3,44.9,30.6,26.63,402.03,0.67,0.39,0.4,2022-03-07 09:00:00
49,24.7284,RA,H,24.3,31.7,24.9,25.2,24.8,44.4,31.2,28.38,404.35,0.67,0.4,0.4,2022-03-07 10:00:00
50,24.6991,RA,H,23.8,32.0,25.0,24.9,24.7,44.3,31.4,29.77,403.74,0.67,0.4,0.4,2022-03-07 11:00:00
51,24.7233,RA,H,23.7,32.2,25.0,24.8,25.0,44.1,31.8,29.73,407.18,0.68,0.4,0.4,2022-03-07 12:00:00
52,24.7181,RA,H,23.3,32.3,24.9,24.6,24.9,44.0,31.8,30.07,402.04,0.67,0.39,0.41,2022-03-07 13:00:00
53,24.7255,RA,H,23.1,32.4,24.8,24.6,24.7,43.9,31.8,30.12,402.33,0.67,0.39,0.39,2022-03-07 14:00:00
54,24.7164,RA,H,22.8,32.4,24.7,24.6,24.9,43.7,32.0,30.31,403.57,0.67,0.4,0.4,2022-03-07 15:00:00
55,24.7043,RA,H,22.6,32.4,24.4,24.5,24.9,43.6,32.0,30.5,404.72,0.67,0.4,0.4,2022-03-07 16:00:00
56,24.4068,RA,H,21.2,31.3,24.0,24.2,24.5,43.9,31.0,31.12,406.84,0.68,0.4,0.4,2022-03-07 17:00:00
57,24.3362,RA,H,19.6,36.1,24.0,24.6,24.2,45.4,35.6,37.04,407.62,0.68,0.41,0.41,2022-03-07 21:00:00
58,24.4422,RA,H,19.6,38.1,24.4,24.9,24.2,45.9,37.4,38.77,408.3,0.69,0.41,0.41,2022-03-07 22:00:00
59,24.4776,RA,H,19.5,39.2,24.8,24.0,24.2,46.2,38.4,39.94,407.77,0.69,0.41,0.41,2022-03-07 23:00:00
60,24.5266,RA,H,19.2,40.8,24.4,24.5,24.2,46.6,40.0,41.35,408.83,0.69,0.41,0.41,2022-03-08 00:00:00
61,24.5832,RA,H,19.1,42.1,24.5,24.9,24.2,46.9,41.2,42.49,408.77,0.69,0.41,0.41,2022-03-08 01:00:00
62,24.6419,RA,H,19.1,43.3,25.0,25.1,24.3,47.3,42.4,43.61,410.43,0.69,0.41,0.41,2022-03-08 02:00:00
63,24.7363,RA,H,19.5,44.3,24.8,24.7,24.6,47.6,43.4,44.54,408.72,0.69,0.41,0.41,2022-03-08 03:00:00
64,24.7374,RA,H,19.2,45.0,24.0,24.0,24.8,48.0,43.8,45.18,409.26,0.69,0.41,0.41,2022-03-08 04:00:00
65,24.7596,RA,H,19.4,45.0,25.0,24.3,24.9,48.2,44.2,45.19,408.66,0.69,0.41,0.41,2022-03-08 05:00:00
66,24.7966,RA,H,19.7,45.1,24.9,24.7,24.8,48.3,44.2,45.3,406.14,0.68,0.4,0.41,2022-03-08 06:00:00
67,24.9761,RA,H,21.0,45.0,24.2,25.0,24.8,48.4,44.2,45.34,406.05,0.68,0.4,0.4,2022-03-08 07:00:00
68,25.072,RA,H,22.3,43.7,24.4,25.1,24.7,47.7,43.0,44.36,405.64,0.68,0.4,0.4,2022-03-08 08:00:00
69,25.0574,RA,H,21.9,44.2,25.3,24.2,25.2,47.0,43.4,44.84,401.33,0.67,0.39,0.4,2022-03-08 09:00:00
70,24.7112,RA,H,22.1,34.1,24.3,24.0,24.4,47.5,33.6,32.97,405.73,0.68,0.4,0.4,2022-03-09 00:00:00
71,24.687,RA,H,22.2,35.0,24.7,25.0,24.6,47.9,34.6,35.29,406.35,0.68,0.4,0.4,2022-03-09 01:00:00
72,24.7104,RA,H,22.5,35.1,24.8,24.3,24.7,48.2,34.6,35.4,406.56,0.68,0.4,0.4,2022-03-09 02:00:00
73,24.7104,RA,H,22.5,35.1,24.9,24.7,24.6,48.3,34.6,35.4,407.5,0.68,0.4,0.4,2022-03-09 03:00:00
74,24.7138,RA,H,22.5,35.0,24.9,24.5,24.6,48.3,34.6,35.15,408.11,0.68,0.41,0.4,2022-03-09 04:00:00
75,24.7012,RA,H,22.4,35.1,24.8,24.6,24.4,48.3,34.6,35.48,407.64,0.68,0.41,0.41,2022-03-09 05:00:00
76,24.7018,RA,H,22.4,36.0,24.9,24.6,24.5,48.4,35.4,37.14,407.05,0.68,0.4,0.41,2022-03-09 06:00:00
77,24.7321,RA,H,22.8,36.0,24.9,24.7,24.5,48.5,35.4,36.77,405.26,0.68,0.4,0.4,2022-03-09 07:00:00
78,24.8277,RA,H,24.2,36.7,24.4,24.5,24.6,47.5,36.4,35.95,400.2,0.66,0.39,0.4,2022-03-09 08:00:00
79,24.902,RA,H,25.1,35.6,24.7,25.3,25.4,46.6,35.2,31.91,402.24,0.67,0.39,0.39,2022-03-09 09:00:00
80,24.8622,RA,H,24.5,32.2,24.1,24.3,24.3,46.6,31.8,26.73,399.27,0.66,0.39,0.4,2022-03-10 08:00:00
